CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,392,1,1
2,IPC,326,1,1
3,IPC,302,1,1
4,IPC,376,1,1
5,IPC,307,1,1
6,IPC,379,1,1
7,IPC,376,1,1
8,IPC,307,1,1
9,NDPS,20,1,1
10,IPC,354,1,1
11,IPC,307,1,1
12,IPC,302,1,1
13,IPC,354,1,1
14,IPC,379,1,1
15,IPC,307,1,1
16,NDPS,20,1,1
17,IPC,323,1,1
18,IPC,379,1,1
19,IPC,302,1,1
20,SCST,3,1,1
21,IPC,307,1,1
22,IPC,379,1,1
23,IPC,420,1,1
24,IPC,354,1,1
25,IPC,392,1,1
26,IPC,323,1,1
27,SCST,3,1,1
28,NDPS,20,1,1
29,IPC,498A,1,1
29,DV,3,1,2
30,SCST,3,1,1
31,IPC,392,1,1
32,IPC,392,1,1
33,IPC,326,1,1
34,IPC,420,1,1
35,NDPS,21,1,1
36,SCST,3,1,1
37,SCST,3,1,1
38,IPC,354,1,1
39,NDPS,20,1,1
40,IT,66C,1,1
40,IT,66D,1,2
41,IPC,380,1,1
41,IPC,454,1,2
42,IPC,392,1,1
43,IPC,379,1,1
44,NDPS,21,1,1
45,IPC,392,1,1
46,IPC,498A,1,1
46,DV,3,1,2
47,IPC,302,1,1
48,IPC,326,1,1
49,IPC,307,1,1
50,IPC,323,1,1
51,IPC,380,1,1
51,IPC,454,1,2
52,IPC,380,1,1
52,IPC,454,1,2
53,IPC,392,1,1
54,IPC,379,1,1
55,IPC,354,1,1
56,IPC,302,1,1
57,IPC,379,1,1
58,IPC,380,1,1
58,IPC,454,1,2
59,IPC,376,1,1
60,NDPS,21,1,1
61,IPC,379,1,1
62,IPC,323,1,1
63,IPC,323,1,1
64,IPC,379,1,1
65,IPC,380,1,1
65,IPC,454,1,2
66,IT,66D,1,1
67,IPC,498A,1,1
67,DV,3,1,2
68,IPC,323,1,1
69,IPC,379,1,1
70,IT,66D,1,1
71,IPC,498A,1,1
71,DV,3,1,2
72,IPC,326,1,1
73,IT,66D,1,1
74,IPC,420,1,1
75,IPC,420,1,1
76,IT,66D,1,1
77,IPC,380,1,1
77,IPC,454,1,2
78,IPC,379,1,1
79,IT,66D,1,1
80,IPC,354,1,1
81,IPC,420,1,1
82,IPC,379,1,1
83,IPC,323,1,1
84,IPC,498A,1,1
84,DV,3,1,2
85,NDPS,20,1,1
86,IPC,379,1,1
87,IPC,420,1,1
87,IPC,468,1,2
88,IPC,379,1,1
89,IPC,302,1,1
90,IPC,323,1,1
91,IPC,379,1,1
92,IPC,379,1,1
93,NDPS,21,1,1
94,IPC,323,1,1
95,IPC,326,1,1
96,NDPS,21,1,1
97,IPC,323,1,1
98,IPC,323,1,1
99,IPC,307,1,1
100,IPC,307,1,1
101,IT,66C,1,1
101,IT,66D,1,2
102,SCST,3,1,1
103,IPC,323,1,1
104,IPC,380,1,1
104,IPC,454,1,2
105,NDPS,21,1,1
106,IPC,420,1,1
107,IPC,420,1,1
108,IPC,376,1,1
109,IPC,307,1,1
110,IPC,379,1,1
111,IPC,376,1,1
112,IPC,420,1,1
112,IPC,468,1,2
113,IPC,420,1,1
113,IPC,468,1,2
114,IPC,376,1,1
115,IPC,392,1,1
116,IPC,376,1,1
117,IPC,379,1,1
118,IPC,420,1,1
119,SCST,3,1,1
120,IPC,380,1,1
120,IPC,454,1,2
121,IPC,323,1,1
122,NDPS,21,1,1
123,IPC,354,1,1
124,IPC,379,1,1
125,IPC,392,1,1
126,IPC,392,1,1
127,IPC,379,1,1
128,IPC,498A,1,1
128,DV,3,1,2
129,IT,66D,1,1
130,IPC,379,1,1
131,IPC,376,1,1
132,IPC,420,1,1
132,IPC,468,1,2
133,IPC,420,1,1
134,IPC,392,1,1
135,IT,66D,1,1
136,IPC,380,1,1
136,IPC,454,1,2
137,IT,66C,1,1
137,IT,66D,1,2
138,IPC,323,1,1
139,IPC,326,1,1
