ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2022-09-29,1,10,107,958,10,1,1,0
2,1,1,2022-10-13,1,10,107,958,10,2,1,0
3,2,1,2024-04-20,1,11,109,789,1,5,1,0
4,4,1,2023-11-04,1,15,131,807,4,7,1,0
5,4,1,2023-12-08,1,15,131,807,4,8,1,0
6,6,1,2024-05-29,1,6,79,447,1,10,1,0
7,8,1,2024-06-22,1,31,182,1543,10,12,1,0
8,11,1,2024-01-14,1,9,97,1190,4,16,1,0
9,12,2,2023-09-07,1,1,12,119,9,17,1,0
10,14,1,2023-10-24,1,16,137,20,8,19,1,0
11,16,1,2022-12-22,1,18,142,1269,9,22,1,0
12,17,1,2024-05-28,1,21,152,1919,4,25,1,0
13,18,1,2022-10-05,1,20,150,1843,4,26,1,0
14,19,1,2023-10-29,1,21,153,1763,3,30,1,0
15,20,1,2022-09-13,1,7,82,61,9,32,1,0
16,22,1,2023-12-18,1,6,74,886,4,35,1,0
17,23,1,2023-11-27,1,4,52,248,8,36,1,0
18,24,1,2024-07-03,1,10,104,1935,9,37,1,0
19,27,1,2022-07-22,1,10,107,1916,10,42,1,0
20,28,2,2022-04-05,1,8,91,1658,4,44,1,0
21,28,1,2022-05-16,1,8,91,1658,4,45,1,0
22,30,1,2022-03-21,1,15,134,493,9,47,1,0
23,31,1,2024-08-31,1,22,155,1736,8,48,1,0
24,32,2,2024-08-07,1,24,163,1165,6,52,1,0
25,33,2,2023-07-15,1,9,94,935,8,55,1,0
26,34,1,2023-07-02,1,1,28,792,6,56,1,0
27,35,1,2024-05-25,1,4,54,1593,7,57,1,0
28,38,1,2024-01-09,1,9,100,394,3,63,1,0
29,39,1,2024-09-12,1,1,10,852,9,64,1,0
30,41,2,2024-11-03,1,15,131,976,4,66,1,0
31,43,1,2022-03-28,1,12,119,818,2,69,1,0
32,44,1,2022-03-19,1,10,102,1046,6,70,1,0
33,45,1,2022-05-29,1,3,46,297,10,74,1,0
34,47,1,2022-09-08,1,1,6,1487,9,78,1,0
35,48,1,2024-12-23,1,1,12,1218,9,79,1,0
36,49,2,2023-09-18,1,2,39,1163,10,80,1,0
37,50,1,2022-04-24,1,4,54,1518,3,81,1,0
38,50,1,2022-05-13,1,4,54,1518,3,82,1,0
39,53,1,2023-12-04,1,21,154,891,6,87,1,0
40,54,1,2024-01-27,1,8,88,300,7,88,1,0
41,54,1,2024-02-17,1,8,88,300,7,89,1,0
42,55,1,2022-12-06,1,12,118,621,5,91,1,0
43,55,1,2022-12-15,1,12,118,621,5,92,1,0
44,56,1,2023-12-20,1,1,18,1579,8,93,1,0
45,57,2,2022-11-04,1,14,125,718,10,94,1,0
46,60,1,2024-10-31,1,9,98,1942,8,98,1,1
