CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,_DistrictID,_SubheadName
1,100100107202200001,202200001,2022-08-22,222,107,1,2,2,8,1,10,2022-08-06 20:39:36,2022-08-06 20:54:36,2022-08-22 21:55:36,16.954379,75.675434,Complainant reported Commercial Robbery at Vijayapura Circle on 06/08/2022. Statement recorded. Investigation initiated.,10,Commercial Robbery
2,300110109202400001,202400001,2024-03-05,1148,109,3,2,1,3,1,1,2024-02-24 10:23:32,2024-02-24 13:17:32,2024-03-05 20:54:32,15.301322,77.302157,Complainant reported Grievous Hurt at Ballari Market on 24/02/2024. Statement recorded. Investigation initiated.,11,Grievous Hurt
3,100020033202200001,202200001,2022-07-10,114,33,1,2,1,1,4,3,2022-07-02 21:53:33,2022-07-03 00:13:33,2022-07-10 03:47:33,13.048462,77.538466,Victim attacked with sharp weapon during altercation over land dispute. Succumbed to injuries at hospital.,2,Murder
4,300150131202300001,202300001,2023-09-14,1017,131,3,2,3,12,1,4,2023-09-09 12:33:43,2023-09-09 15:04:43,2023-09-14 12:09:43,13.735703,74.933959,FIR registered based on complaint. Accused identified. Further investigation in progress.,15,Sexual Assault
5,300040058202300001,202300001,2023-08-04,130,58,3,2,1,2,2,3,2023-07-08 20:55:21,2023-07-08 21:10:21,2023-08-04 11:14:21,15.732331,74.63334,FIR registered based on complaint. Accused identified. Further investigation in progress.,4,Attempt to Murder
6,100060079202400001,202400001,2024-03-16,1971,79,1,2,2,5,1,1,2024-03-06 23:46:11,2024-03-07 00:25:11,2024-03-16 20:17:11,12.798246,74.739568,Four-wheeler stolen from apartment parking. CCTV footage shows suspect using master key device.,6,Vehicle Theft
7,800210152202200001,202200001,2022-05-27,348,152,8,1,3,12,1,4,2022-05-13 16:46:26,2022-05-13 17:22:26,2022-05-27 22:00:26,15.477091,75.15258,FIR registered based on complaint. Accused identified. Further investigation in progress.,21,Sexual Assault
8,100310182202400001,202400001,2024-05-08,978,182,1,1,1,2,3,10,2024-04-22 20:57:01,2024-04-22 21:04:01,2024-05-08 08:33:01,17.479171,77.379328,Complainant reported Attempt to Murder at Bidar Layout on 22/04/2024. Statement recorded. Investigation initiated.,31,Attempt to Murder
9,100130123202400001,202400001,2024-07-14,1157,123,1,2,7,18,1,1,2024-06-21 07:58:44,2024-06-21 09:49:44,2024-07-14 23:10:44,12.750092,76.178962,Accused was intercepted near Hassan Layout bus stand. Search revealed MDMA concealed in food parcel. Quantity: 2819 grams.,13,NDPS Possession
10,100230160202300001,202300001,2023-09-25,642,160,1,2,3,10,1,7,2023-09-20 21:13:45,2023-09-20 23:53:45,2023-09-25 16:27:45,15.120794,75.801624,Complainant reported Eve Teasing at Koppal Bus Stand on 20/09/2023. Statement recorded. Investigation initiated.,23,Eve Teasing
11,100090097202300001,202300001,2023-11-08,882,97,1,2,1,2,4,4,2023-10-23 20:44:59,2023-10-23 21:13:59,2023-11-08 07:48:59,15.825312,74.951356,Complainant reported Attempt to Murder at Dharwad Circle on 23/10/2023. Statement recorded. Investigation initiated.,9,Attempt to Murder
12,100010012202300001,202300001,2023-07-07,232,12,1,2,1,1,1,9,2023-06-24 03:32:42,2023-06-24 05:57:42,2023-07-07 17:00:42,12.988482,77.238413,Deceased was found with stab wounds near Bangalore Urban Main Road. Old enmity suspected. Accused identified as neighbour of victim.,1,Murder
13,100040059202400001,202400001,2024-04-01,1922,59,1,2,3,10,1,1,2024-03-25 02:41:59,2024-03-25 04:21:59,2024-04-01 03:55:59,15.713604,74.525431,Complainant reported Eve Teasing at Belagavi Bus Stand on 25/03/2024. Statement recorded. Investigation initiated.,4,Eve Teasing
14,100160137202300001,202300001,2023-10-16,1699,137,1,2,2,9,2,8,2023-10-04 18:55:47,2023-10-04 21:48:47,2023-10-16 14:14:47,14.505952,74.780425,Complainant reported Pickpocketing at Uttara Kannada Bus Stand on 04/10/2023. Statement recorded. Investigation initiated.,16,Pickpocketing
15,100190145202200001,202200001,2022-10-30,1176,145,1,1,1,2,4,7,2022-10-02 23:12:29,2022-10-02 23:44:29,2022-10-30 01:39:29,14.07494,76.325077,Complainant reported Attempt to Murder at Chitradurga Circle on 02/10/2022. Statement recorded. Investigation initiated.,19,Attempt to Murder
16,400180142202200001,202200001,2022-12-21,1371,142,4,2,7,18,2,9,2022-11-30 10:42:13,2022-11-30 13:21:13,2022-12-21 08:34:13,12.187073,76.26997,Accused was intercepted near Kodagu Circle bus stand. Search revealed Heroin concealed in bag. Quantity: 4509 grams.,18,NDPS Possession
17,100210152202400001,202400001,2024-04-25,901,152,1,2,1,4,2,4,2024-04-12 19:42:49,2024-04-12 20:55:49,2024-04-25 20:26:49,15.413226,75.366472,Complainant reported Simple Assault at Gadag Market on 12/04/2024. Statement recorded. Investigation initiated.,21,Simple Assault
18,400200150202200001,202200001,2022-08-20,1184,150,4,2,2,5,1,4,2022-08-11 20:54:04,2022-08-11 23:09:04,2022-08-20 09:20:04,14.670036,75.616589,Two-wheeler was parked near Davangere Circle. Ignition bypassed using duplicate key. Vehicle stolen between 07:00 and 21:00.,20,Vehicle Theft
19,400210153202300001,202300001,2023-08-06,140,153,4,2,1,1,1,3,2023-07-18 17:41:02,2023-07-18 18:57:02,2023-08-06 20:09:02,15.468816,75.140982,Deceased was found with stab wounds near Gadag Market. Old enmity suspected. Accused identified as acquaintance of victim.,21,Murder
20,100070082202200001,202200001,2022-09-10,853,82,1,2,5,15,1,9,2022-08-13 22:08:26,2022-08-13 23:56:26,2022-09-10 03:26:26,13.005853,77.150215,Complainant reported Atrocity (SC/ST Act) at Tumakuru Main Road on 13/08/2022. Statement recorded. Investigation initiated.,7,Atrocity (SC/ST Act)
21,800280175202300001,202300001,2023-02-13,1797,175,8,2,1,2,2,3,2023-02-07 09:29:35,2023-02-07 10:33:35,2023-02-13 05:51:35,12.900317,77.324742,Complainant reported Attempt to Murder at Ramanagara Circle on 07/02/2023. Statement recorded. Investigation initiated.,28,Attempt to Murder
22,100060074202300001,202300001,2023-10-18,1954,74,1,2,2,9,1,4,2023-09-27 17:20:20,2023-09-27 17:58:20,2023-10-18 09:33:20,12.885188,74.780724,FIR registered based on complaint. Accused identified. Further investigation in progress.,6,Pickpocketing
23,100040052202300001,202300001,2023-11-01,248,52,1,2,4,13,4,8,2023-10-25 23:28:01,2023-10-26 00:25:01,2023-11-01 18:48:01,15.48007,74.317739,FIR registered based on complaint. Accused identified. Further investigation in progress.,4,Cheating
24,300100104202400001,202400001,2024-06-08,1256,104,3,2,3,10,1,9,2024-05-24 20:50:05,2024-05-24 23:50:05,2024-06-08 09:05:05,16.71504,75.974281,Complainant reported Eve Teasing at Vijayapura Bus Stand on 24/05/2024. Statement recorded. Investigation initiated.,10,Eve Teasing
25,100100106202300001,202300001,2023-09-18,862,106,1,2,2,8,2,3,2023-09-04 23:30:43,2023-09-04 23:50:43,2023-09-18 16:46:43,16.916105,75.26924,Complainant reported Commercial Robbery at Vijayapura Layout on 04/09/2023. Statement recorded. Investigation initiated.,10,Commercial Robbery
