CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,5,2024-05-26,A,130
2,14,2023-12-02,A,1699
3,16,2023-02-17,A,1371
4,17,2024-07-29,A,901
5,21,2023-09-01,A,1797
6,25,2024-08-24,A,862
7,29,2023-08-12,A,1904
8,31,2024-10-11,A,397
9,35,2024-09-01,C,1019
10,40,2024-03-15,A,1026
11,42,2024-12-26,C,1691
12,44,2022-06-13,A,243
13,47,2023-03-04,A,793
14,51,2025-02-16,A,294
15,53,2024-01-30,A,2000
16,56,2024-02-06,C,1352
17,59,2023-01-31,A,1549
18,60,2025-01-24,A,576
19,61,2024-04-09,A,1149
20,62,2023-02-15,C,361
21,65,2023-12-13,A,641
22,67,2023-04-23,C,1599
23,68,2024-12-03,A,1906
24,69,2023-03-31,A,1348
25,71,2023-11-03,A,1403
26,77,2024-06-06,C,1717
27,82,2025-02-24,A,1298
28,84,2024-12-29,A,1507
29,89,2022-10-19,A,1490
30,91,2024-07-10,C,767
31,96,2022-10-13,A,101
32,99,2023-02-12,A,1298
33,101,2022-09-12,C,372
34,104,2025-05-24,A,43
35,107,2023-01-29,A,918
36,111,2022-07-28,A,241
37,113,2023-08-11,B,1724
38,116,2023-06-05,A,1754
39,119,2022-12-18,A,949
40,124,2023-08-25,C,1717
41,127,2024-10-23,A,284
42,132,2023-07-02,A,1800
43,133,2023-05-20,A,464
44,134,2024-08-30,A,653
45,135,2023-02-27,A,213
46,139,2023-02-09,C,1132
47,141,2022-09-21,A,1263
48,146,2024-04-23,A,1909
49,155,2023-07-20,A,1076
50,157,2025-03-28,A,1968
51,158,2025-04-21,A,1007
52,159,2023-05-17,A,881
53,160,2023-02-20,A,293
54,162,2023-08-12,A,1800
55,166,2024-11-12,A,309
56,168,2023-07-27,A,237
57,170,2023-08-03,A,1135
58,172,2024-04-12,A,250
59,176,2024-12-13,A,1941
60,178,2023-08-26,A,1270
61,181,2025-01-05,A,636
62,183,2022-10-22,A,42
63,185,2025-03-10,C,241
64,188,2022-08-29,C,1395
65,189,2024-01-21,A,1574
66,191,2022-08-28,A,722
67,192,2023-09-01,A,1208
68,200,2025-05-07,A,1497
69,202,2025-01-31,C,607
70,207,2025-05-01,B,681
71,210,2025-01-13,A,1001
72,216,2023-02-14,B,1969
73,220,2024-02-14,A,526
74,231,2024-06-04,A,254
75,233,2024-08-30,A,1352
76,237,2024-07-18,C,1779
77,239,2022-10-18,A,181
78,241,2022-10-19,A,571
79,245,2025-04-10,A,950
80,247,2023-10-11,A,1618
81,256,2024-04-01,A,1005
82,259,2022-07-16,C,800
83,260,2024-05-14,A,345
84,262,2023-07-04,A,872
85,266,2023-05-09,A,1147
86,268,2022-06-21,A,1841
87,281,2023-07-25,A,54
88,290,2024-02-28,B,1602
89,295,2024-06-23,A,552
90,297,2024-10-10,A,1445
91,298,2024-04-22,C,1346
92,300,2024-09-16,A,428
93,304,2023-02-07,C,362
94,307,2024-02-28,A,1481
95,309,2023-12-03,A,583
