CourtID,CourtName,DistrictID,StateID,Active
1,Bangalore Urban District & Sessions Court,1,1,1
2,Bangalore Rural District & Sessions Court,2,1,1
3,Mysuru District & Sessions Court,3,1,1
4,Belagavi District & Sessions Court,4,1,1
5,Kalaburagi District & Sessions Court,5,1,1
6,Dakshina Kannada District & Sessions Court,6,1,1
7,Tumakuru District & Sessions Court,7,1,1
8,Shivamogga District & Sessions Court,8,1,1
9,Dharwad District & Sessions Court,9,1,1
10,Vijayapura District & Sessions Court,10,1,1
