DistrictID,DistrictName,StateID,Active
1,Bangalore Urban,1,1
2,Bangalore Rural,1,1
3,Mysuru,1,1
4,Belagavi,1,1
5,Kalaburagi,1,1
6,Dakshina Kannada,1,1
7,Tumakuru,1,1
8,Shivamogga,1,1
9,Dharwad,1,1
10,Vijayapura,1,1
11,Ballari,1,1
12,Raichur,1,1
13,Hassan,1,1
14,Mandya,1,1
15,Udupi,1,1
16,Uttara Kannada,1,1
17,Chikkamagaluru,1,1
18,Kodagu,1,1
19,Chitradurga,1,1
20,Davangere,1,1
21,Gadag,1,1
22,Haveri,1,1
23,Koppal,1,1
24,Bagalkote,1,1
25,Chamarajanagara,1,1
26,Chikkaballapura,1,1
27,Kolar,1,1
28,Ramanagara,1,1
29,Yadgir,1,1
30,Vijayanagara,1,1
31,Bidar,1,1
