UnitID,UnitName,TypeID,ParentUnit,StateID,DistrictID,Active
1,Bangalore Urban PS,1,,1,1,1
2,Bangalore Urban Town PS,1,,1,1,1
3,Bangalore Urban Rural PS,1,,1,1,1
4,Bangalore Urban North PS,1,,1,1,1
5,Bangalore Urban South PS,1,,1,1,1
6,Bangalore Urban East PS,1,,1,1,1
7,Bangalore Urban West PS,1,,1,1,1
8,Bangalore Urban PS,1,,1,1,1
9,Bangalore Urban Town PS,1,,1,1,1
10,Bangalore Urban Rural PS,1,,1,1,1
11,Bangalore Urban North PS,1,,1,1,1
12,Bangalore Urban South PS,1,,1,1,1
13,Bangalore Urban East PS,1,,1,1,1
14,Bangalore Urban West PS,1,,1,1,1
15,Bangalore Urban PS,1,,1,1,1
16,Bangalore Urban Town PS,1,,1,1,1
17,Bangalore Urban Rural PS,1,,1,1,1
18,Bangalore Urban North PS,1,,1,1,1
19,Bangalore Urban South PS,1,,1,1,1
20,Bangalore Urban East PS,1,,1,1,1
21,Bangalore Urban West PS,1,,1,1,1
22,Bangalore Urban PS,1,,1,1,1
23,Bangalore Urban Town PS,1,,1,1,1
24,Bangalore Urban Rural PS,1,,1,1,1
25,Bangalore Urban North PS,1,,1,1,1
26,Bangalore Urban South PS,1,,1,1,1
27,Bangalore Urban East PS,1,,1,1,1
28,Bangalore Urban West PS,1,,1,1,1
29,Bangalore Urban PS,1,,1,1,1
30,Bangalore Urban Town PS,1,,1,1,1
31,Bangalore Urban Rural PS,1,,1,1,1
32,Bangalore Urban North PS,1,,1,1,1
33,Bangalore Rural PS,1,,1,2,1
34,Bangalore Rural Town PS,1,,1,2,1
35,Bangalore Rural Rural PS,1,,1,2,1
36,Bangalore Rural North PS,1,,1,2,1
37,Bangalore Rural South PS,1,,1,2,1
38,Bangalore Rural East PS,1,,1,2,1
39,Bangalore Rural West PS,1,,1,2,1
40,Mysuru PS,1,,1,3,1
41,Mysuru Town PS,1,,1,3,1
42,Mysuru Rural PS,1,,1,3,1
43,Mysuru North PS,1,,1,3,1
44,Mysuru South PS,1,,1,3,1
45,Mysuru East PS,1,,1,3,1
46,Mysuru West PS,1,,1,3,1
47,Mysuru PS,1,,1,3,1
48,Mysuru Town PS,1,,1,3,1
49,Mysuru Rural PS,1,,1,3,1
50,Mysuru North PS,1,,1,3,1
51,Mysuru South PS,1,,1,3,1
